Center_X,Center_Y
3.0,15.0
3.0,19.0
3.0,23.0
3.0,27.0
5.0,15.0
5.0,19.0
5.0,23.0
5.0,27.0
9.0,7.0
11.0,3.0
11.0,7.0
13.0,23.0
15.0,23.0
15.0,31.0
23.0,3.0
25.0,3.0
25.0,7.0
33.0,23.0
33.0,27.0
35.0,23.0
35.0,27.0
37.0,23.0
39.0,7.0
41.0,7.0
43.0,7.0
43.0,11.0
43.0,15.0
