Center_X,Center_Y
7.5,17.0
12.5,7.0
12.5,17.0
17.5,7.0
17.5,17.0
17.5,27.0
22.5,17.0
22.5,27.0
27.5,7.0
27.5,27.0
32.5,7.0
32.5,17.0
37.5,7.0
37.5,17.0
