Center_X,Center_Y
9.5,16.0
9.5,26.0
14.5,6.0
14.5,16.0
19.5,6.0
19.5,16.0
19.5,26.0
24.5,16.0
24.5,26.0
29.5,6.0
29.5,16.0
29.5,26.0
34.5,6.0
34.5,16.0
39.5,16.0
